Isin,CurrencyCode,company_name,environment_grade,environment_level,environment_score,governance_grade,governance_level,governance_score,social_grade,social_level,social_score,stock_symbol,total,total_grade,total_level
SE0011337708,SEK,AAK AB (publ.),AA,Excellent,647,BB,Medium,345,BB,Medium,307,AAK,1299,A,High
CH0012221716,SEK,ABB Ltd,BB,Medium,306,B,Medium,220,BBB,High,425,ABB,951,BBB,High
SE0007897079,SEK,ACADIA Pharmaceuticals Inc.,B,Medium,290,BB,Medium,300,BB,Medium,344,ACAD,934,BBB,High
SE0014781795,SEK,Addtech AB (publ.),A,High,500,BB,Medium,300,BB,Medium,300,ADDT-B,1100,BBB,High
CA00830W1059,SEK,AEC Securities Public Company Limited,B,Medium,240,BB,Medium,300,BB,Medium,300,AEC,840,BB,Medium
SE0000695876,SEK,Alfa Financial Software Holdings PLC,A,High,540,BB,Medium,340,BB,Medium,300,ALFA,1180,BBB,High
SE0009664154,SEK,"Annexon, Inc",BB,Medium,360,BB,Medium,320,BB,Medium,304,ANNX,984,BBB,High
SE0000772956,SEK,AQ Estate Public Company Limited,B,Medium,210,B,Medium,200,B,Medium,203,AQ,613,B,Medium
SE0000697948,SEK,Arcturus Therapeutics Holdings Inc,B,Medium,205,B,Medium,255,B,Medium,244,ARCT,704,B,Medium
SE0010468116,SEK,Arjo AB (publ),A,High,530,BB,Medium,315,BB,Medium,345,ARJO-B,1190,BBB,High
SE0003883990,SEK,"Archrock, Inc.",BBB,High,423,BB,Medium,310,BB,Medium,303,AROC,1036,BBB,High
SE0015810817,SEK,Archroma Pakistan Limited,B,Medium,258,B,Medium,215,B,Medium,202,ARPL,675,B,Medium
SE0009269467,SEK,PT Anabatic Technologies Tbk,B,Medium,270,BB,Medium,340,BB,Medium,300,ATIC,910,BBB,High
SE0000191827,SEK,Atrium Ljungberg AB (publ),B,Medium,215,B,Medium,200,BB,Medium,300,ATRLJ-B,715,B,Medium
SE0007666110,SEK,Attendo AB (publ),A,High,500,BB,Medium,305,BB,Medium,300,ATT,1105,BBB,High
SE0001337213,SEK,Auris Minerals Limited,CC,Low,100,BB,Medium,300,B,Medium,206,AUR,606,B,Medium
SE0006993770,SEK,Axfood AB (publ),B,Medium,222,B,Medium,233,BB,Medium,300,AXFO,755,BB,Medium
SE0012454072,SEK,IPC Corporation Ltd,B,Medium,205,B,Medium,200,B,Medium,200,AZA,605,B,Medium
GB0009895292,SEK,AstraZeneca PLC,A,High,505,BB,Medium,300,BB,Medium,300,AZN,1105,BBB,High
SE0017832488,SEK,Fastighets AB Balder (publ),B,Medium,212,B,Medium,215,B,Medium,206,BALD-B,633,B,Medium
SE0010948588,SEK,"Bright Health Group, Inc.",B,Medium,205,B,Medium,218,B,Medium,292,BHG,715,B,Medium
SE0000862997,SEK,BillerudKorsnäs AB (publ),A,High,550,BB,Medium,345,BB,Medium,305,BILL,1200,A,High
SE0015244520,SEK,B Investments Holding S.A.E.,BB,Medium,355,BB,Medium,310,B,Medium,213,BINV,878,BB,Medium
SE0008091573,SEK,Bonava AB (publ),B,Medium,210,BB,Medium,315,B,Medium,232,BONAV-A,757,BB,Medium
SE0007491303,SEK,BRAVADA International Ltd,B,Medium,215,B,Medium,200,B,Medium,200,BRAV,615,B,Medium
SE0015811625,SEK,Koninklijke Brill NV,A,High,500,BB,Medium,300,BB,Medium,300,BRILL,1100,BBB,High
SE0000379190,SEK,Castro Model Ltd.,B,Medium,200,B,Medium,200,B,Medium,200,CAST,600,B,Medium
SE0015483276,SEK,PT Chitose Internasional Tbk,B,Medium,200,B,Medium,200,B,Medium,272,CINT,672,B,Medium
SE0007048020,SEK,"Collegium Pharmaceutical, Inc.",B,Medium,220,BB,Medium,305,BB,Medium,301,COLL,826,BB,Medium
JE00BLD8Y945,SEK,AXA SA,A,High,500,B,Medium,255,BB,Medium,300,CS,1055,BBB,High
SE0016798763,SEK,"China Chaintek United Co., Limited",B,Medium,200,B,Medium,200,B,Medium,200,CTEK,600,B,Medium
SE0000418923,SEK,"CatchMark Timber Trust, Inc.",A,High,505,BB,Medium,300,B,Medium,295,CTT,1100,BBB,High
