Isin,CurrencyCode,Ticker,company_name,environment_grade,environment_level,environment_score,esg_id,exchange_symbol,governance_grade,governance_level,governance_score,last_processing_date,social_grade,social_level,social_score,stock_symbol,total,total_grade,total_level
US0268747849,USD,System.Object[],"American International Group, Inc.",A,High,538,390,NYSE,BB,Medium,314,20230221,BB,Medium,315,AIG,1167,BBB,High
US03027X1000,USD,System.Object[],American Tower Corporation (REIT),A,High,515,415,NYSE,BB,Medium,305,20230221,BB,Medium,314,AMT,1134,BBB,High
US0304201033,USD,System.Object[],"American Water Works Company, Inc.",AA,Excellent,680,418,NYSE,BB,Medium,300,20230221,BBB,High,407,AWK,1387,A,High
US03076C1062,USD,System.Object[],"Ameriprise Financial, Inc.",A,High,510,422,NYSE,B,Medium,277,20230221,BB,Medium,322,AMP,1109,BBB,High
US03073E1055,USD,System.Object[],AmerisourceBergen Corporation,A,High,550,426,NYSE,BB,Medium,300,20230221,BB,Medium,315,ABC,1165,BBB,High
US0311001004,USD,System.Object[],"AMETEK, Inc.",A,High,545,430,NYSE,BB,Medium,300,20230221,BB,Medium,330,AME,1175,BBB,High
US0311621009,USD,System.Object[],Amgen Inc.,A,High,530,432,NASDAQ,BB,Medium,310,20230221,BB,Medium,322,AMGN,1162,BBB,High
US0320951017,USD,System.Object[],Amphenol Corporation,A,High,515,439,NYSE,BB,Medium,315,20230221,BB,Medium,326,APH,1156,BBB,High
US0326541051,USD,System.Object[],"Analog Devices, Inc.",A,High,528,448,NASDAQ,BB,Medium,318,20230221,BB,Medium,318,ADI,1164,BBB,High
US03662Q1058,USD,System.Object[],"ANSYS, Inc.",A,High,570,473,NASDAQ,BB,Medium,310,20230221,BB,Medium,335,ANSS,1215,A,High
US0378331005,USD,System.Object[],Apple Inc.,BB,Medium,355,502,NASDAQ,B,Medium,255,20230221,B,Medium,281,AAPL,891,BB,Medium
US0382221051,USD,System.Object[],"Applied Materials, Inc.",A,High,507,508,NASDAQ,BB,Medium,300,20230221,BB,Medium,300,AMAT,1107,BBB,High
JE00B783TY65,USD,System.Object[],Aptiv PLC,A,High,530,71797,NYSE,BB,Medium,310,20230301,BB,Medium,363,APTV,1203,A,High
US0394831020,USD,System.Object[],Archer-Daniels-Midland Company,A,High,566,543,NYSE,BB,Medium,310,20230221,BB,Medium,331,ADM,1207,A,High
US0404131064,USD,System.Object[],"Arista Networks, Inc.",A,High,515,565,NYSE,BB,Medium,300,20230221,BB,Medium,341,ANET,1156,BBB,High
US3635761097,USD,System.Object[],Arthur J. Gallagher & Co.,A,High,515,586,NYSE,BB,Medium,320,20230221,BB,Medium,345,AJG,1180,BBB,High
US04621X1081,USD,System.Object[],"Assurant, Inc.",A,High,500,628,NYSE,BB,Medium,300,20230221,BB,Medium,300,AIZ,1100,BBB,High
US0258161092,USD,System.Object[],American Express Company,B,Medium,205,383,NYSE,B,Medium,205,20230221,B,Medium,229,AXP,639,B,Medium
US02376R1023,USD,System.Object[],American Airlines Group Inc.,BBB,High,477,362,NASDAQ,B,Medium,288,20230221,BB,Medium,333,AAL,1098,BBB,High
US0236081024,USD,System.Object[],Ameren Corporation,BBB,High,455,356,NYSE,BB,Medium,318,20230221,BB,Medium,330,AEE,1103,BBB,High
US0231351067,USD,System.Object[],"Amazon.com, Inc.",AA,Excellent,660,342,NASDAQ,BBB,High,460,20230221,BB,Medium,308,AMZN,1428,A,High
US02209S1033,USD,System.Object[],"Altria Group, Inc.",A,High,505,326,NYSE,BB,Medium,300,20230221,BB,Medium,301,MO,1106,BBB,High
US02079K1079,USD,System.Object[],Alphabet Inc,B,Medium,235,70870,NASDAQ,BB,Medium,315,20230301,BB,Medium,313,GOOG,863,BB,Medium
US0188021085,USD,System.Object[],Alliant Energy Corporation,A,High,508,280,NASDAQ,BB,Medium,320,20230221,BB,Medium,335,LNT,1163,BBB,High
IE00BFRT3W74,USD,System.Object[],Allegion plc,A,High,567,271,NYSE,BB,Medium,325,20230221,BB,Medium,318,ALLE,1210,A,High
US0162551016,USD,System.Object[],"Align Technology, Inc.",B,Medium,250,255,NASDAQ,B,Medium,250,20230221,B,Medium,266,ALGN,766,BB,Medium
US0152711091,USD,System.Object[],"Alexandria Real Estate Equities, Inc.",A,High,538,246,NYSE,BB,Medium,300,20230221,BB,Medium,328,ARE,1166,BBB,High
US0126531013,USD,System.Object[],Albemarle Corporation,A,High,538,239,NYSE,BB,Medium,305,20230221,BB,Medium,335,ALB,1178,BBB,High
US0116591092,USD,System.Object[],"Alaska Air Group, Inc.",A,High,525,234,NYSE,B,Medium,293,20230221,BB,Medium,303,ALK,1121,BBB,High
US00971T1016,USD,System.Object[],"Akamai Technologies, Inc.",AA,Excellent,620,220,NASDAQ,BB,Medium,350,20230221,BB,Medium,348,AKAM,1318,A,High
US0091581068,USD,System.Object[],"Air Products and Chemicals, Inc.",AA,Excellent,700,209,NYSE,BB,Medium,305,20230221,BB,Medium,382,APD,1387,A,High
US00846U1016,USD,System.Object[],"Agilent Technologies, Inc.",A,High,548,182,NYSE,BB,Medium,300,20230221,B,Medium,226,A,1074,BBB,High
